Reference, Value, Footprint, Datasheet, Mfr, MfrCode, MouserCode, FarnellCode
"F1","1.67A","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","","Bel","5ST 1.6-R","530-5ST1.6-R",""
"F2","1.67A","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","","Bel","5ST 1.6-R","530-5ST1.6-R",""
"D1","KBU8B","Diode_THT:Diode_Bridge_Vishay_KBU","","GeneSiC","KBU8B","905-KBU8B",""
"L1","10u","Inductor_SMD:L_Bourns_SRR1260","","Bourns","SRR1260-100M","652-SRR1260-100M",""
"Rfbt1","100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Bourns","CR0805-FX-1003ELF","652-CR0805FX-1003ELF",""
"Cout1","68u","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","","TDK","C3225X5R0J686M200AC","810-C3225X5R0J686M",""
"C2","3300u","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","","Nichicon","UHE1V332MHD6","647-UHE1V332MHD6",""
"U2","LMR33630A","Package_SO:TI_SO-PowerPAD-8_ThermalVias","","TI","LMR33630ADDAR","595-LMR33630ADDAR",""
"Cboot1","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Yageo","CC0805KRX7R9BB104","603-CC805KRX7R9BB104",""
"Rfbb1","22K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Bourns","CR0805-FX-2202ELF","652-CR0805-FX2202ELF",""
"Coutx1","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Murata","GRM21BR71A105KA01L","81-GRM40X105K10L",""
"Cvcc1","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","KEMET","C0805C105K8PACTU","80-C0805C105K8P",""
"Cin1","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","TDK","C3216X6S1V106K160AC","810-C3216X6S1V106K6A",""
"Cinx1","220n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","KEMET","C0805C224K5RACTM","80-C0805C224K5RACTM",""
"J3","Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","","Any","Aliexpress: "KF301-5.0-2P"","",""
"J2","Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","","Any","Aliexpress: "KF301-5.0-2P"","",""
"J1","Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","","Any","Aliexpress: "KF301-5.0-2P"","",""
"F3","160mA","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","","Bel","5ST 160-R","530-5ST160-R",""
"RV3","S14K300","Varistor:RV_Disc_D15.5mm_W5.2mm_P7.5mm","","EPCOS / TDK","B72214S301K101","871-B72214S301K101",""
"C1","10n","Capacitor_THT:C_Rect_L19.0mm_W5.0mm_P15.00mm_MKS4","","KEMET","R46KI21004001K1","80-R46KI21004001K1",""
"RV1","S10K20","Varistor:RV_Disc_D12mm_W4.5mm_P7.5mm","","EPCOS / TDK","B72210S200K101","871-B72210S200K101",""
"RV2","S10K20","Varistor:RV_Disc_D12mm_W4.5mm_P7.5mm","","EPCOS / TDK","B72210S200K101","871-B72210S200K101",""
"TP1","10K","Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical","","Bourns","PV36Y103C01B00","81-PV36Y103C01B00",""
"TR1","Myrra_UI_39_TRF","c64-psu:Myrra UI 39 trf","","Myrra","UI 39","","1777965"
"R1","820k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Bourns","CR0805-FX-8203ELF","652-CR0805FX-8203ELF",""
"R2","68k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Bourns","CR0805-FX-6802ELF","652-CR0805FX-6802ELF",""
"U1","MAX6399","Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm","","Maxim","MAX6399ATA+T","700-MAX6399ATAT",""
"R3","680k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Bourns","CR0805-FX-6803ELF","652-CR0805FX-6803ELF",""
"Ren1","10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF",""
"R4","150k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","Bourns","CR0805-FX-1503ELF","652-CR0805FX-1503ELF",""
"R5","10k","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","Bourns","CR0805-FX-4700ELF","652-CR0805FX-4700ELF",""
"Q1","N-MOS","c64-psu:LFPAK33-PSMN7R5-30MLD","","Nexperia","PSMN7R5-30MLD","771-PSMN7R5-30MLDX",""
"XF1","Fuse Holder","","","Schurter","0031.8201","693-0031.8201",""
"XF2","Fuse Holder","","","Schurter","0031.8201","693-0031.8201",""
"XF3","Fuse Holder","","","Schurter","0031.8201","693-0031.8201",""
"D2","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","Any","Aliexpress: "1206 white led"","",""
"MH1","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"MH2","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"MH3","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"MH4","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
